id,name,lat,lon,nameplate,generation,fuel,
1841,Clinton Power Station,40.1719,-88.8339,1138,8611998,NUCLEAR,
4177,Sooner,36.4537,-97.0527,1138,5996488,COAL,
4942,V H Braunig,29.2575,-98.3828,1138,777530,GAS,
278,Red Hawk,33.33,-112.84,1136,3376012,GAS,
4931,Tolk,34.1847,-102.5686,1136,7732493,COAL,
4842,Odessa Ector Generating Station,31.8378,-102.3278,1135,2982703,GAS,
1267,Crist,30.5661,-87.2289,1135,4834529,COAL,
3082,Thomas Hill,39.5531,-92.6392,1135,7417641,COAL,
248,Cholla,34.9394,-110.3033,1129,7121755,COAL,
4172,Riverside,35.9978,-95.9567,1122,1996627,GAS,
3570,PSEG Hudson Generating Station,40.7478,-74.0719,1114,2172629,COAL,
1244,Anclote,28.1844,-82.7887,1112,1887407,GAS,
729,Mountainview Power LLC,34.0836,-117.2408,1108,6034355,GAS,
5523,Philip Sporn,38.9669,-81.9231,1106,2468469,COAL,
4530,John S Rainey,34.3477,-82.776,1102,2905831,GAS,
2065,Tanners Creek,39.0831,-84.8581,1100,3902585,COAL,
1904,Joppa Steam,37.2103,-88.8606,1100,7854429,COAL,
3069,Sioux,38.9158,-90.2917,1099,5733024,COAL,
1470,Tenaska Georgia Generation Facility,33.3516,-84.9996,1099,131611,GAS,
4853,Permian Basin,31.5839,-102.9636,1097,342640,GAS,
2185,Big Sandy,38.1707,-82.6176,1097,6552258,COAL,
4197,Bonneville,45.6404,-121.9464,1093,4034951,HYDRO,
4798,Lamar Power Project,33.6314,-95.589,1091,3331722,GAS,
4063,Kyger Creek,38.9161,-82.1281,1087,6740162,COAL,
3952,Sithe Independence Station,43.495,-76.4508,1086,3423158,GAS,
4663,Barney M Davis,27.6067,-97.3119,1082,1817974,GAS,
2043,Merom,39.0694,-87.5108,1080,6700606,COAL,
4775,Harrington,35.2972,-101.7475,1080,6591308,COAL,
2779,Clay Boswell,47.2603,-93.6531,1073,6269474,COAL,
5443,Point Beach Nuclear Plant,44.2806,-87.5369,1073,8290882,NUCLEAR,
2616,Greenwood,43.1056,-82.6964,1071,536155,GAS,
3012,Hawthorn,39.1306,-94.4778,1071,4075196,COAL,
4134,Chouteau,36.2206,-95.2756,1066,1618984,GAS,
4491,Bad Creek,34.9599,-82.9184,1065,0,HYDRO,
3312,Wayne County,35.38,-78.0875,1059,351347,GAS,
2431,Herbert A Wagner,39.1781,-76.5268,1059,1671384,COAL,
501,Dynegy Morro Bay LLC,35.3747,-120.8578,1056,89598,GAS,
2204,J K Smith,37.8824,-84.1025,1055,420912,GAS,
600,Helms Pumped Storage,37.0939,-119.2836,1053,0,HYDRO,
1600,George Neal North,42.2996,-96.3634,1046,6619772,COAL,
4508,Darlington County,34.4185,-80.1657,1046,136747,GAS,
3036,Meramec,38.4017,-90.3358,1041,5316125,COAL,
5210,Boundary,48.9871,-117.3478,1040,3138414,HYDRO,
264,Hoover Dam,36.014,-114.7384,1039,1517486,HYDRO,
3653,Hoover Dam,36.0139,-114.7389,1039,2097079,HYDRO,
5312,Wanapum,46.8734,-119.9707,1038,4198171,HYDRO,
4758,Freestone Power Generation LLC,31.8907,-96.1128,1036,4734096,GAS,
2291,River Bend,30.757,-91.3327,1036,8363163,NUCLEAR,
3542,Linden Cogen Plant,40.6322,-74.2156,1035,4709689,GAS,
4562,V C Summer,34.2983,-81.3153,1030,8487079,NUCLEAR,
1334,Polk,27.7286,-81.9897,1030,1821227,COAL,
5353,Columbia,43.4864,-89.4203,1023,7256787,COAL,
3840,Indian Point 3,41.2691,-73.9532,1012,8994713,NUCLEAR,
4723,Dow Chemical Texas Operation,28.99,-95.36,1011,4155017,GAS,
4143,GRDA,36.1906,-95.2889,1010,6263463,COAL,
1842,Coffeen,39.0586,-89.4031,1005,4855369,COAL,
3116,Magnolia Power Plant,34.8358,-89.2017,1004,1641226,GAS,
4527,Jasper,32.3592,-81.1236,1002,4342601,GAS,
1303,Lansing Smith,30.2689,-85.7003,1002,4666344,GAS,
3719,Blenheim Gilboa,42.4552,-74.4587,1000,0,HYDRO,
525,Encina,33.1408,-117.3342,999,316552,GAS,
4717,Deer Park Energy Center,29.7153,-95.1361,996,5684394,GAS,
4987,Huntington,39.3792,-111.0781,996,6107379,COAL,
1321,Oleander Power Project LP,28.3661,-80.7947,994,572747,GAS,
1256,C D McIntosh Jr,28.0809,-81.9256,994,3081886,GAS,
4517,H B Robinson,34.4017,-80.1589,992,4602898,NUCLEAR,
4253,McNary,45.9402,-119.2988,991,4599712,HYDRO,
4777,Hays Energy Project,29.7806,-97.9894,989,2930341,GAS,
1430,McIntosh,32.3558,-81.1683,988,270438,COAL,
2283,Plaquemine Cogeneration Plant,30.3215,-91.2392,987,4432455,GAS,
4494,Broad River Energy Center,35.0786,-81.575,985,949180,GAS,
4099,Rolling Hills Generating LLC,39.0839,-82.3328,978,42151,GAS,
4456,Three Mile Island,40.1515,-76.7232,976,6633750,NUCLEAR,
4145,Horseshoe Lake,35.5089,-97.1789,974,1641381,GAS,
2735,Zeeland Generating Station,42.82,-85.9988,968,957808,GAS,
3502,AES Red Oak LLC,40.4481,-74.3497,966,4401714,GAS,
2269,Michoud,30.0081,-89.9372,959,1867329,GAS,
4827,Mountain Creek,32.7253,-96.9361,958,705577,GAS,
5279,Priest Rapids,46.6451,-119.908,956,3995732,HYDRO,
1410,Hammond,34.2533,-85.3456,953,2958913,COAL,
3227,Harris,35.6334,-78.9556,951,7080615,NUCLEAR,
4607,Bull Run,36.0211,-84.1567,950,3874215,COAL,
